time,qpos,qvel,torque
0.014193296432495117,"[0.07147824236152843, 0.012617665051035551, -0.02127303831905486, 0.10928242490422013, -0.008211685642470604, -0.013368393056169128, 0.0056456170048047715, 0.016119671322888846, 0.055936974080617104, 0.06927171852898273, 0.01501652784805274, 0.030913660277058424, 0.1453295121484849]","[0.13176686170521063, 0.0009572932208469163, -0.40246677588621627, 0.15377596294837315, -0.015478526905873456, -0.2423622156211833, 0.10700359153744306, 0.006945039327455196, 0.0783722040148566, -0.33519694541697476, 0.060899138868654196, 0.02275822879545333, -0.5326855518517757]","[-0.00960770590978138, -0.0014544075007368194, 0.0037372498331654314, -0.04305273804898936, -0.003049928671132293, 0.003992475842280234, 0.014665326126063385, 9.667039811261404e-05, -0.006521289876661067, 0.0005488942775756626, -0.013296145562510108, -0.0022897780319731634, 0.0071480109380366395]"
0.015194416046142578,"[0.0765210869945913, 0.012676932635120536, -0.01920575020884258, 0.11586379508487765, -0.008904538929304318, -0.014129904759193491, 0.008104171264650984, 0.01687487994374648, 0.05999544124574383, 0.0707922901747185, 0.015069755049896869, 0.03285645062930841, 0.23818199362888298]","[0.09753741218229522, 0.0006823009917663414, -0.3649658402437149, 0.12902221709273934, -0.012864909253673031, -0.25869750971816985, 0.1522613031515251, 0.012363815140424235, 0.07521281853862738, -0.3089071603367328, -0.0006915365756897474, 0.03607671317570149, -0.4367616551707014]","[-0.004191585223309464, -0.0012611439480953884, 0.0037150183940981, -0.024401036578195257, 0.0004668825846025771, 0.004689979214222302, -0.006037708443840251, 0.0004148307241685217, -0.006464380729865522, 0.0005253268708423003, 0.003060732056376291, -0.0044978550810606584, 0.0032133208443096855]"
0.015194416046142578,"[0.08102578954885657, 0.012663502936357965, -0.018858437233356062, 0.12208465637846856, -0.009503874863603214, -0.012523935263094893, 0.007837147315697509, 0.017425245912418882, 0.0639116905688435, 0.07235472974174571, 0.014512155640985996, 0.034385004640891774, 0.3219199107231863]","[0.08337557085831723, -0.0015404937083298637, -0.3581346307694289, 0.1222696764980281, -0.011000070806455141, -0.22711964991915845, 0.1467931462474958, 0.008351934550698428, 0.07257869372532849, -0.2790345549228477, -0.011902922765898173, 0.02869207419978269, -0.49537889230828797]","[-0.0030206531613645973, -0.0011084714751249493, 0.003694331462650362, -0.021440773903869167, -0.00021469795506992082, 0.0039001527753593965, -0.0067132690996506, 0.0007270618542365584, -0.006373008378298925, 0.0004806224575592262, 0.0038006687741087316, -0.0035709870411591745, 0.0041457091219549175]"
0.015194416046142578,"[0.08713510081319642, 0.01272112959419611, -0.022664222761484866, 0.13013028869844784, -0.010150896048206402, -0.011779647154267131, 0.008764976514880897, 0.0175183158102962, 0.068238216858486, 0.0714837407771595, 0.0129409960800701, 0.03573801565018144, 0.4026680138450942]","[0.10987689593974315, 0.0007598199178633473, -0.405984097041732, 0.14383560998667771, -0.011536280954334698, -0.2131264859069143, 0.15735716942400468, 0.0021130123026721925, 0.07714667006616474, -0.28342556753796216, -0.027399346366642548, 0.02412993532620047, -0.6034802465352207]","[-0.0059329745620100224, -0.0009705802250718798, 0.0036740251813267956, -0.04356642285034938, -0.0008685374219235129, 0.0031293969071253588, -0.007566202161256166, 0.000995739505214441, -0.006280907563126714, 0.0004301344140776996, 0.004453702618944238, -0.0027169392854727243, 0.0049941856263728]"
0.015194416046142578,"[0.09194094291187, 0.012609484319217865, -0.017642025956561024, 0.13731435003467085, -0.010818205036774109, -0.00986045132156046, 0.008111463598189832, 0.01747782129079322, 0.07229259914644118, 0.07351056378299974, 0.011173727345186232, 0.0366463103251583, 0.4883679494082004]","[0.07606658440517172, -0.003545660630175526, -0.26706575158967727, 0.12252529326736851, -0.012680625832227174, -0.1758498468878084, 0.1424046695936643, 0.00044242820336226, 0.07068617816039684, -0.2411870538277493, -0.029446811843341303, 0.015794186720220593, -0.6168429253232437]","[-0.004710108647826047, -0.0007895180044334054, 0.0036461715472272172, -0.04040179544559093, -0.0017550346836620978, 0.00226761248700445, -0.008310120965466027, 0.0012549561049870984, -0.00622374498207972, 0.0003496394799577231, 0.004601512965190246, -0.0018498466652685835, 0.005968990975347984]"
0.016198158264160156,"[0.09555305813811449, 0.012674821487157309, -0.008660717033295257, 0.1431077934985656, -0.011632101083337072, -0.006767764127009316, 0.007237876219956538, 0.017168564270595564, 0.07572074098308956, 0.07597807718248914, 0.009277199077450374, 0.03716108661326154, 0.5756283908087791]","[0.06262576701937903, 0.002236443710686515, -0.15222445896605324, 0.10180849634896491, -0.014419585710444716, -0.10196415912232533, 0.12777254513267564, -0.008688381927803393, 0.0584633702336277, -0.19656042704060767, -0.03413406413508439, 0.0094037177177182, -0.6237488092716498]","[-0.0036008048541172452, -0.000640681980294556, 0.003609934120135109, -0.03672440149286156, -0.002167822992813498, 0.0016456847891324893, -0.010141830582354258, 0.0014613458618013063, -0.006158672315093609, 0.0002710754422474214, 0.0055059162239348685, -0.0011570193181097955, 0.006573959271493632]"
0.016198158264160156,"[0.09968733922708499, 0.012393043051747975, -0.008317809128137853, 0.1505056215716137, -0.012825404261028142, -0.010915362735528185, 0.006787931769890016, 0.016723573825196583, 0.07908562531881363, 0.1593874598799032, 0.013553992771361366, 0.037885260595356, -0.019108726322843585]","[0.07247136299081562, -0.0040472348175798496, -0.1373167753067192, 0.12789126454539645, -0.02091086992565769, -0.1672717126465869, 0.11808553930059068, -0.01217196060542707, 0.05575718487417417, -0.259746944429912, 0.07406873248232856, 0.01392225471467539, -0.34620064957856755]","[-0.009027070960438732, -0.0005122975873725874, 0.003534035165784415, -0.05865561260984152, 0.00035771628924117355, 0.00559841158327307, 0.005601068866668116, 0.003126759408815238, -0.005838187199290452, -0.0008361659304081568, -0.014369990662978947, -0.001259283133196262, 0.005353215386608701]"
0.016198158264160156,"[0.10344041643857706, 0.012327970276853803, -0.005274870495838363, 0.15664354564127164, -0.013862457710359315, -0.005592419779625324, 0.005601081067231235, 0.01556542756837193, 0.081563290188647, 0.16288672641183044, 0.01667077199815366, 0.038765652151342964, 0.0639855076567789]","[0.06643828134706593, -0.001108221787461691, -0.09191119933163978, 0.10889986522045139, -0.018556492701315302, -0.09809755918206142, 0.10012044599465492, -0.020837909189548656, 0.043680584345114765, -0.2077483592421124, 0.055836046844973036, 0.015565147685379192, -0.41509827308337727]","[-0.007712873040596053, -0.0003734448608573819, 0.0033719417840474995, -0.0558521101051211, -0.0008396036110922212, 0.005372060749909504, 0.007103915716077854, 0.0033199921440848386, -0.0056633962052967035, -0.0007758846935438272, -0.013529535771681702, -0.0013571169014716029, 0.006533767937577693]"
0.0171968936920166,"[0.10577727008503653, 0.012279721889573606, -0.004157642310281537, 0.15982600209285971, -0.014622177255516544, -0.00463262026789459, 0.00381825502411793, 0.014833376623522427, 0.08343242846615306, 0.16679965156893667, 0.01943243607972864, 0.03925815840488221, 0.15132375380541413]","[0.04160901883249926, -0.0007389495356845215, -0.07425252095488467, 0.05663673686914402, -0.013570668283936292, -0.08094411212056142, 0.06835879897435376, -0.013311262488507216, 0.03297679333138562, -0.13817550919775778, 0.04938557537875868, 0.008746043625169524, -0.4143414236020166]","[-0.002478811201019909, -0.0002484821112092735, 0.0032368845033806507, -0.028901114741531488, -0.0020477505247992285, 0.004951906238034107, 0.008629634440488358, 0.0033912069624919454, -0.005518727792647302, -0.0007365752196676823, -0.012801036977795622, -0.0013019987338180896, 0.007680787907823899]"
0.0171968936920166,"[0.10919635690808545, 0.012464508296285008, -0.004395348599111996, 0.16440517188032228, -0.015409181438063064, -0.0034677922665926047, 0.004280252395133435, 0.013761523431473594, 0.08545144666560331, 0.16622778175446876, 0.021416683666976626, 0.03984252633912015, 0.23299555712873232]","[0.06043480067788701, 0.004650670728064141, -0.07355113197198386, 0.07242335183166325, -0.013751255042960856, -0.06217604260284218, 0.07215217201326875, -0.017285427730279343, 0.03404957359965579, -0.13965680845042627, 0.036925584656665095, 0.00915551442186675, -0.5064706082471973]","[-0.005359561369492864, -0.00018473660925888414, 0.003177868669950237, -0.05187098347027341, -0.003328096919289492, 0.004411162901755587, 0.010275905940591225, 0.0034018999991141255, -0.005383740018129792, -0.0006946125831839412, -0.01210746140833505, -0.0011403778555838192, 0.008782325839912697]"
0.0171968936920166,"[0.11179041586897799, 0.012787490010827622, -0.0054048320521559, 0.16895671763881911, -0.016102529174996168, -0.0025934705325341015, 0.007292842636300651, 0.012793699513622818, 0.08741968774630121, 0.16668976718732934, 0.01974847781345321, 0.041209941217820595, 0.3223799416562494]","[0.04629614942216414, 0.005839945541579214, -0.09659602560635155, 0.0810602069025735, -0.012301730283210936, -0.04556257819140772, 0.13044102031998595, -0.017125910892391974, 0.03480360572962363, -0.1399903156810135, -0.029464154459148073, 0.024400019154998707, -0.476733343957098]","[-0.004175322799184771, -7.684758459682894e-05, 0.0030895602212243378, -0.031032540272644123, 1.8608646843622673e-05, 0.00508511735979751, -0.012973407338435904, 0.0033008670702431727, -0.005223217048392163, -0.0006629983430995565, 0.00718628247261061, -0.00393451704817935, 0.0049168764777729945]"
0.0171968936920166,"[0.11440743426990757, 0.012973435559175088, -0.005508850793746021, 0.1734449877883109, -0.01680095278675738, -0.0038191402500000974, 0.007335756092062105, 0.011811826342286842, 0.08979302834143653, 0.16572691542616547, 0.01802509065219808, 0.04212043592326339, 0.40640320902102234]","[0.04606886944949262, 0.0033846482964768414, -0.09802784809323943, 0.07983823634872375, -0.012339689211727345, -0.05865935094522655, 0.12834773343515204, -0.017313289492793607, 0.03930465669447688, -0.13155626922501854, -0.03314038468889399, 0.01613695560686444, -0.5319870693750398]","[-0.0030855292919163596, 3.726471499438104e-05, 0.0030110642807078905, -0.028565189554002654, -0.0007464362083648903, 0.003993738897176014, -0.013696506413695119, 0.0034685282987429304, -0.005279414799469418, -0.0005649080015430423, 0.007705079748902281, -0.0028739114233332502, 0.005732511258798406]"
0.018193960189819336,"[0.11685518729235121, 0.013274246403003006, -0.0053707732100808665, 0.17701616303728704, -0.017459294616436423, -0.004004926770722584, 0.006879963488974284, 0.010957883706243227, 0.09221913877300206, 0.16514307204674772, 0.01643917341412819, 0.042595546184528335, 0.49160291359170294]","[0.043811174574880325, 0.006989029649167517, -0.09218842239378978, 0.05552153275299454, -0.011454826219319501, -0.07609109534675623, 0.11742579438575189, -0.012945748024818493, 0.04150430436251784, -0.1583193997555738, -0.02614692396420005, 0.007582281711004664, -0.5654461164768926]","[-0.0020174862160295655, 0.00014037084567429176, 0.0029360793199024143, -0.026181929251261327, -0.0015419281540730411, 0.002887951632625045, -0.014616315781109588, 0.003507244952130782, -0.005157374281988568, -0.0005373527497350216, 0.008182412987432615, -0.001918114377148095, 0.006487520845028321]"
0.018193960189819336,"[0.11901949752626774, 0.013316712018133635, -0.0059455794455311895, 0.18135333019353556, -0.018150675603403776, -0.0024397957254702783, 0.007205554623543879, 0.009760124718378773, 0.09472842403370532, 0.16586390735957235, 0.014355075137044315, 0.042846184777123146, 0.576357667292931]","[0.03890536996525259, 0.0005390641165541764, -0.10603174725804651, 0.07762995429850855, -0.012569847220476552, -0.04385651292448229, 0.12814460756771043, -0.021742043855417177, 0.044527253853322186, -0.14737417223168423, -0.03760200153002291, 0.0044516277402097855, -0.6165483526347367]","[-0.0010025252366910663, 0.00023023580217733153, 0.0028730056210148477, -0.0241462822458403, -0.002328617715303097, 0.0018506447385382484, -0.015639676369110282, 0.003507244664560013, -0.005017136519946768, -0.0005089407938197229, 0.008597437442228462, -0.001038922815271412, 0.007189313311811882]"
0.018193960189819336,"[0.12171406658327008, 0.013165542888766273, -0.005732557983581512, 0.18777632780284537, -0.018855267108163994, -0.0003125578229271847, 0.006869090005718963, 0.0071944517666021465, 0.09516187112056582, 0.23930635082914292, 0.01849984784224628, 0.04383720927949057, -0.021638757512312923]","[0.047005342450836554, -0.002458371544476141, -0.09003412886599899, 0.11235172591991856, -0.013166888745065476, -0.006787557015594675, 0.12196686408518224, -0.045080002504072056, 0.007650412264867625, -0.3985124858322005, 0.07441179084039155, 0.01712618650001506, -0.3837346404025624]","[-0.0065198022681695915, 0.00032067115615730293, 0.0028089315879948154, -0.047578485010534036, -0.0031682461353393187, -0.0004037795533378301, 0.002011602569189347, 0.005351834651973525, -0.0006379115473498112, 0.0028478943944937507, -0.013535539056674015, -0.0005992291685703951, 0.005643306707353883]"
0.018193960189819336,"[0.12419558572330677, 0.013115279024080204, -0.0034233709970392682, 0.19349143960299986, -0.01957058337434674, 9.803049155851691e-05, 0.006225925327685457, 0.00479964996830872, 0.09554405803909845, 0.24128093151356772, 0.022029732088790242, 0.04467415550450289, 0.06263666727907834]","[0.04422265937909304, -0.0009387080700984996, -0.060345483800035266, 0.10186442726402303, -0.012883379935160803, 0.001482705792570515, 0.11171047097570613, -0.04261543801376999, 0.006897200134471117, -0.3661145841644212, 0.06334573538067856, 0.014731996042981504, -0.43972731847964597]","[-0.0053203683147814256, 0.00046461999923092174, 0.0026652786392260827, -0.045060198753774636, -0.004284755128192759, -0.00063498390535563, 0.00354041561308651, 0.0053039216275333565, -0.0007063506412638662, 0.0029250265918750813, -0.012775617394577029, -0.0006874112878351242, 0.0068168012505247745]"
